#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,Juventus Turin,Serie A,"1,03 mrd. €",296,"719,54 mio. €",294,"-307,49 mio. €"
2,,FC Barcelone,LaLiga,"995,45 mio. €",76,"603,55 mio. €",77,"-391,90 mio. €"
3,,Manchester City,Premier League,"987,63 mio. €",127,"322,74 mio. €",129,"-664,89 mio. €"
4,,Manchester United,Premier League,"856,90 mio. €",66,"305,15 mio. €",67,"-551,75 mio. €"
5,,Paris Saint-Germain,Ligue 1,"845,60 mio. €",78,"401,00 mio. €",76,"-444,60 mio. €"
6,,Chelsea FC,Premier League,"743,60 mio. €",157,"631,51 mio. €",157,"-112,09 mio. €"
7,,Atlético de Madrid,LaLiga,"708,75 mio. €",103,"674,20 mio. €",103,"-34,55 mio. €"
8,,Inter Milan,Serie A,"694,02 mio. €",280,"370,97 mio. €",296,"-323,05 mio. €"
9,,Real Madrid,LaLiga,"683,65 mio. €",74,"474,55 mio. €",70,"-209,10 mio. €"
10,,AC Milan,Serie A,"637,04 mio. €",167,"219,94 mio. €",175,"-417,10 mio. €"
11,,AS Monaco,Ligue 1,"619,81 mio. €",150,"844,35 mio. €",149,"224,54 mio. €"
12,,FC Liverpool,Premier League,"572,65 mio. €",91,"449,75 mio. €",95,"-122,90 mio. €"
13,,FC Everton,Premier League,"558,20 mio. €",100,"314,63 mio. €",101,"-243,57 mio. €"
14,,AS Roma,Serie A,"538,40 mio. €",259,"589,53 mio. €",266,"51,13 mio. €"
15,,FC Arsenal,Premier League,"533,30 mio. €",69,"237,60 mio. €",71,"-295,70 mio. €"
16,,Borussia Dortmund,Bundesliga,"522,69 mio. €",70,"675,95 mio. €",72,"153,26 mio. €"
17,,SSC Napoli,Serie A,"487,31 mio. €",185,"300,92 mio. €",185,"-186,39 mio. €"
18,,Sevilla FC,LaLiga,"473,53 mio. €",107,"461,75 mio. €",110,"-11,78 mio. €"
19,,Leicester City,Premier League,"444,75 mio. €",85,"309,90 mio. €",94,"-134,85 mio. €"
20,,FC Valencia,LaLiga,"439,10 mio. €",105,"313,55 mio. €",100,"-125,55 mio. €"
21,,Bayern Munich,Bundesliga,"430,75 mio. €",45,"255,55 mio. €",46,"-175,20 mio. €"
22,,Tottenham Hotspur,Premier League,"426,00 mio. €",49,"313,20 mio. €",58,"-112,80 mio. €"
23,,West Ham United,Premier League,"413,70 mio. €",90,"197,78 mio. €",96,"-215,92 mio. €"
24,,Newcastle United,Premier League,"351,31 mio. €",112,"214,42 mio. €",112,"-136,89 mio. €"
25,,RasenBallsport Leipzig,Bundesliga,"337,68 mio. €",81,"144,54 mio. €",80,"-193,14 mio. €"
26,,Aston Villa,Premier League,"333,45 mio. €",120,"147,48 mio. €",126,"-185,97 mio. €"
27,,FC Southampton,Premier League,"314,00 mio. €",70,"289,50 mio. €",75,"-24,50 mio. €"
28,,FC Watford,Premier League,"312,75 mio. €",141,"163,83 mio. €",140,"-148,92 mio. €"
29,,Bayer 04 Leverkusen,Bundesliga,"302,00 mio. €",75,"256,55 mio. €",73,"-45,45 mio. €"
30,,Olympique Lyonnais,Ligue 1,"300,20 mio. €",77,"424,07 mio. €",77,"123,87 mio. €"
31,,Wolverhampton Wanderers,Premier League,"299,50 mio. €",155,"71,79 mio. €",160,"-227,72 mio. €"
32,,VfL Wolfsburg,Bundesliga,"292,70 mio. €",81,"256,85 mio. €",81,"-35,85 mio. €"
33,,Villarreal CF,LaLiga,"285,95 mio. €",102,"296,91 mio. €",99,"10,96 mio. €"
34,,AFC Bournemouth,Premier League,"276,61 mio. €",97,"79,17 mio. €",105,"-197,45 mio. €"
35,,UC Sampdoria,Serie A,"247,02 mio. €",246,"333,70 mio. €",245,"86,68 mio. €"
36,,Brighton & Hove Albion,Premier League,"237,58 mio. €",128,"22,52 mio. €",128,"-215,06 mio. €"
37,,ACF Fiorentina,Serie A,"237,43 mio. €",222,"210,19 mio. €",228,"-27,24 mio. €"
38,,Zenit St. Pétersbourg,Premier Liga,"231,24 mio. €",77,"199,52 mio. €",78,"-31,72 mio. €"
39,,Olympique de Marseille,Ligue 1,"227,75 mio. €",89,"198,79 mio. €",86,"-28,96 mio. €"
40,,Atalanta BC,Serie A,"226,67 mio. €",375,"287,48 mio. €",380,"60,80 mio. €"
41,,FC Porto,Liga Portugal,"224,70 mio. €",167,"386,46 mio. €",168,"161,76 mio. €"
42,,Stoke City,Championship,"223,12 mio. €",87,"93,57 mio. €",91,"-129,55 mio. €"
43,,FC Schalke 04,Bundesliga,"221,40 mio. €",84,"191,20 mio. €",88,"-30,20 mio. €"
44,,LOSC Lille,Ligue 1,"218,40 mio. €",109,"334,05 mio. €",112,"115,65 mio. €"
45,,US Sassuolo,Serie A,"214,11 mio. €",174,"174,38 mio. €",175,"-39,73 mio. €"
46,,Real Betis Balompié,LaLiga,"209,20 mio. €",104,"157,42 mio. €",103,"-51,78 mio. €"
47,,FC Fulham,Championship,"207,89 mio. €",112,"85,35 mio. €",119,"-122,54 mio. €"
48,,Crystal Palace,Premier League,"198,40 mio. €",80,"114,33 mio. €",96,"-84,08 mio. €"
49,,Guangzhou Evergrande Taobao,Super League,"194,86 mio. €",112,"85,75 mio. €",102,"-109,11 mio. €"
50,,Lazio Rome,Serie A,"193,43 mio. €",157,"178,94 mio. €",163,"-14,49 mio. €"
51,,Ajax Amsterdam,Eredivisie,"190,55 mio. €",76,"407,15 mio. €",73,"216,60 mio. €"
52,,Borussia Mönchengladbach,Bundesliga,"189,55 mio. €",52,"158,93 mio. €",52,"-30,62 mio. €"
53,,SL Benfica,Liga Portugal,"185,53 mio. €",163,"674,57 mio. €",169,"489,04 mio. €"
54,,Shanghai SIPG,Super League,"183,86 mio. €",66,"12,88 mio. €",61,"-170,98 mio. €"
55,,Hebei China Fortune,Super League,"176,42 mio. €",78,"14,12 mio. €",76,"-162,29 mio. €"
56,,West Bromwich Albion,Championship,"170,99 mio. €",82,"105,81 mio. €",76,"-65,18 mio. €"
57,,FC Bologna,Serie A,"169,19 mio. €",197,"91,45 mio. €",201,"-77,73 mio. €"
58,,Genoa CFC,Serie A,"167,51 mio. €",307,"290,88 mio. €",309,"123,37 mio. €"
59,,Jiangsu Suning,Super League,"167,46 mio. €",82,"40,17 mio. €",78,"-127,30 mio. €"
60,,Torino FC,Serie A,"165,15 mio. €",217,"167,58 mio. €",219,"2,43 mio. €"
61,,Burnley FC,Premier League,"163,90 mio. €",83,"93,45 mio. €",91,"-70,45 mio. €"
62,,Beijing Guoan,Super League,"163,70 mio. €",67,"38,21 mio. €",66,"-125,49 mio. €"
63,,Middlesbrough FC,Championship,"162,02 mio. €",112,"137,14 mio. €",115,"-24,89 mio. €"
64,,Swansea City,Championship,"161,00 mio. €",102,"238,16 mio. €",109,"77,16 mio. €"
65,,Tianjin Tianhai (-2019),Chine,"157,62 mio. €",64,"42,15 mio. €",77,"-115,47 mio. €"
66,,Sporting CP,Liga Portugal,"157,28 mio. €",175,"348,37 mio. €",171,"191,10 mio. €"
67,,Hertha BSC,Bundesliga,"154,70 mio. €",60,"68,27 mio. €",57,"-86,44 mio. €"
68,,TSG 1899 Hoffenheim,Bundesliga,"153,39 mio. €",113,"267,42 mio. €",114,"114,03 mio. €"
69,,Eintracht Francfort,Bundesliga,"146,41 mio. €",95,"162,77 mio. €",91,"16,36 mio. €"
70,,Stade Rennais FC,Ligue 1,"137,91 mio. €",101,"154,70 mio. €",99,"16,79 mio. €"
71,,VfB Stuttgart,2. Bundesliga,"137,28 mio. €",103,"175,24 mio. €",102,"37,96 mio. €"
72,,Udinese Calcio,Serie A,"136,01 mio. €",239,"197,85 mio. €",243,"61,84 mio. €"
73,,OGC Nice,Ligue 1,"125,85 mio. €",86,"142,11 mio. €",86,"16,26 mio. €"
74,,CD Cruz Azul,Liga MX Clausura,"125,54 mio. €",114,"16,72 mio. €",111,"-108,83 mio. €"
75,,Huddersfield Town,Championship,"125,54 mio. €",116,"59,74 mio. €",111,"-65,80 mio. €"
76,,Spartak Moscou,Premier Liga,"124,95 mio. €",70,"72,78 mio. €",66,"-52,17 mio. €"
77,,Espanyol Barcelona,LaLiga,"123,50 mio. €",92,"122,50 mio. €",86,"-1,00 mio. €"
78,,1.FSV Mainz 05,Bundesliga,"119,31 mio. €",87,"167,85 mio. €",86,"48,55 mio. €"
79,,Cagliari Calcio,Serie A,"118,11 mio. €",177,"76,55 mio. €",177,"-41,56 mio. €"
80,,RSC Anderlecht,Jupiler Pro League,"117,83 mio. €",150,"175,83 mio. €",145,"58,00 mio. €"
81,,Galatasaray,Süper Lig,"116,81 mio. €",122,"109,02 mio. €",122,"-7,79 mio. €"
82,,Clube Regatas Flamengo,Série A,"116,17 mio. €",166,"186,59 mio. €",169,"70,42 mio. €"
83,,Dalian Professional,Super League,"116,14 mio. €",68,"4,36 mio. €",64,"-111,78 mio. €"
84,,Shanghai Greenland Shenhua,Super League,"115,89 mio. €",84,"19,48 mio. €",84,"-96,41 mio. €"
85,,Fenerbahce,Süper Lig,"115,11 mio. €",104,"88,03 mio. €",97,"-27,08 mio. €"
86,,AFC Sunderland,League One,"113,66 mio. €",122,"95,94 mio. €",123,"-17,72 mio. €"
87,,Real Sociedad,LaLiga,"113,35 mio. €",69,"107,30 mio. €",69,"-6,05 mio. €"
88,,PSV Eindhoven,Eredivisie,"109,70 mio. €",68,"240,40 mio. €",69,"130,71 mio. €"
89,,Club Brugge KV,Jupiler Pro League,"109,12 mio. €",126,"142,26 mio. €",125,"33,14 mio. €"
90,,Norwich City,Premier League,"106,93 mio. €",129,"131,63 mio. €",131,"24,70 mio. €"
91,,Celta Vigo,LaLiga,"106,10 mio. €",77,"127,85 mio. €",74,"21,75 mio. €"
92,,1. FC Köln,Bundesliga,"100,28 mio. €",65,"93,15 mio. €",61,"-7,13 mio. €"
93,,Hamburger SV,2. Bundesliga,"98,61 mio. €",96,"71,45 mio. €",94,"-27,16 mio. €"
94,,Sociedade Esportiva Palmeiras,Série A,"95,40 mio. €",224,"130,06 mio. €",243,"34,66 mio. €"
95,,KRC Genk,Jupiler Pro League,"95,15 mio. €",104,"168,25 mio. €",103,"73,10 mio. €"
96,,SV Werder Bremen,Bundesliga,"94,93 mio. €",95,"82,40 mio. €",90,"-12,53 mio. €"
97,,CF Monterrey,Liga MX Clausura,"94,17 mio. €",113,"26,72 mio. €",111,"-67,45 mio. €"
98,,FC Girondins de Bordeaux,Ligue 1,"93,91 mio. €",86,"166,10 mio. €",90,"72,20 mio. €"
99,,Deportivo Guadalajara,Liga MX Clausura,"91,03 mio. €",114,"48,35 mio. €",123,"-42,68 mio. €"
100,,Tigres UANL,Liga MX Clausura,"89,11 mio. €",160,"35,32 mio. €",164,"-53,79 mio. €"
101,,Olympiakós Le Pirée,Super League 1,"87,62 mio. €",238,"120,33 mio. €",244,"32,71 mio. €"
102,,FC Augsburg,Bundesliga,"87,60 mio. €",77,"72,70 mio. €",76,"-14,90 mio. €"
103,,Derby County,Championship,"85,78 mio. €",102,"53,34 mio. €",105,"-32,44 mio. €"
104,,Sheffield United,Premier League,"84,30 mio. €",133,"19,79 mio. €",138,"-64,51 mio. €"
