#,Pays,Confédération,Taille de l'effectif,ø âge,Valeur marchande,Ø valeur marchande des joueurs
1,Angleterre,UEFA,23,27.2,"1,11 mrd. €","48,24 mio. €"
2,France,UEFA,23,26.2,"1,03 mrd. €","44,78 mio. €"
3,Portugal,UEFA,23,26.7,"913,50 mio. €","39,72 mio. €"
4,Argentine,CONMEBOL,33,27.3,"848,50 mio. €","25,71 mio. €"
5,Espagne,UEFA,25,27.2,"787,00 mio. €","31,48 mio. €"
6,Brésil,CONMEBOL,23,24.5,"730,00 mio. €","31,74 mio. €"
7,Italie,UEFA,29,27.2,"623,00 mio. €","21,48 mio. €"
8,Allemagne,UEFA,21,27.1,"545,50 mio. €","25,98 mio. €"
9,Pays-Bas,UEFA,24,26.6,"520,00 mio. €","21,67 mio. €"
10,Belgique,UEFA,23,26.5,"458,30 mio. €","19,93 mio. €"
11,Croatie,UEFA,24,27.9,"360,50 mio. €","15,02 mio. €"
12,Serbie,UEFA,25,26.6,"343,90 mio. €","13,76 mio. €"
13,Nigéria,CAF,24,25.8,"338,50 mio. €","14,10 mio. €"
14,Maroc,CAF,30,25.6,"310,10 mio. €","10,34 mio. €"
15,Turquie,UEFA,26,25.7,"293,00 mio. €","11,27 mio. €"
16,Uruguay,CONMEBOL,31,25.8,"285,60 mio. €","9,21 mio. €"
17,Ukraine,UEFA,26,27.1,"277,60 mio. €","10,68 mio. €"
18,Danemark,UEFA,23,26.9,"263,30 mio. €","11,45 mio. €"
19,Suède,UEFA,28,27.6,"255,90 mio. €","9,14 mio. €"
20,Autriche,UEFA,25,26.7,"254,40 mio. €","10,18 mio. €"
21,Écosse,UEFA,24,27.4,"253,45 mio. €","10,56 mio. €"
22,Côte d'Ivoire,CAF,23,27.0,"252,53 mio. €","10,98 mio. €"
23,Pologne,UEFA,24,26.6,"244,30 mio. €","10,18 mio. €"
24,Ghana,CAF,26,26.2,"241,20 mio. €","9,28 mio. €"
25,Norvège,UEFA,25,26.2,"234,60 mio. €","9,38 mio. €"
26,Suisse,UEFA,23,27.7,"216,50 mio. €","9,41 mio. €"
27,Sénégal,CAF,22,27.3,"204,50 mio. €","9,30 mio. €"
28,Canada,CONCACAF,22,26.7,"193,45 mio. €","8,79 mio. €"
29,Algérie,CAF,24,26.3,"185,55 mio. €","7,73 mio. €"
30,Corée du Sud,AFC,26,28.2,"174,83 mio. €","6,72 mio. €"
31,Japon,AFC,26,25.1,"166,58 mio. €","6,41 mio. €"
32,Équateur,CONMEBOL,22,25.6,"162,00 mio. €","7,36 mio. €"
